scenario_id,difficulty,family,schedule_exact,schedule_valid,position_accuracy,packet_precision,packet_recall,packet_f1,moved_exact,moved_abs_error,composite,policy
goalshield-medium-0033,medium,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-medium-0033,medium,switch,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2,0.133333,ignore_updates
goalshield-medium-0033,medium,switch,0.0,1.0,0.16666666666666666,0.4,1.0,0.5714285714285715,0.0,3,0.119048,apply_all_packets
goalshield-medium-0033,medium,switch,0.0,1.0,0.16666666666666666,0.4,1.0,0.5714285714285715,0.0,3,0.119048,same_team_any_status
goalshield-medium-0033,medium,switch,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0,0.95,latest_visible_key
goalshield-medium-0034,medium,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-medium-0034,medium,shield,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2,0.133333,ignore_updates
goalshield-medium-0034,medium,shield,0.0,1.0,0.3333333333333333,0.25,1.0,0.4,1.0,0,0.226667,apply_all_packets
goalshield-medium-0034,medium,shield,0.0,1.0,0.3333333333333333,0.25,1.0,0.4,1.0,0,0.226667,same_team_any_status
goalshield-medium-0034,medium,shield,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,0,0.166667,latest_visible_key
goalshield-medium-0035,medium,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-medium-0035,medium,switch,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2,0.133333,ignore_updates
goalshield-medium-0035,medium,switch,0.0,1.0,0.3333333333333333,0.4,1.0,0.5714285714285715,0.0,1,0.152381,apply_all_packets
goalshield-medium-0035,medium,switch,0.0,1.0,0.5,0.6666666666666666,1.0,0.8,1.0,0,0.32,same_team_any_status
goalshield-medium-0035,medium,switch,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0,0.95,latest_visible_key
goalshield-hard-0036,hard,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0036,hard,switch,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0036,hard,switch,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0,0.95,latest_visible_key
goalshield-hard-0037,hard,repair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0037,hard,repair,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0037,hard,repair,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,1,0.085714,latest_visible_key
goalshield-hard-0038,hard,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0038,hard,switch,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,4,0.085714,ignore_updates
goalshield-hard-0038,hard,switch,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,2,0.057143,latest_visible_key
goalshield-hard-0039,hard,repair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0039,hard,repair,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0039,hard,repair,0.0,1.0,0.7142857142857143,0.3333333333333333,1.0,0.5,0.0,2,0.217857,apply_all_packets
goalshield-hard-0039,hard,repair,0.0,1.0,0.7142857142857143,0.5,1.0,0.6666666666666666,0.0,2,0.242857,same_team_any_status
goalshield-hard-0039,hard,repair,0.0,0.0,0.7142857142857143,1.0,0.5,0.6666666666666666,0.0,1,0.242857,latest_visible_key
goalshield-hard-0040,hard,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0040,hard,switch,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0040,hard,switch,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,1,0.085714,latest_visible_key
goalshield-hard-0041,hard,repair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
